Metalcore
22.7
24.8
24.49
23.6
23.9
23.3
26.13
25.5
26.3
25.5
26.24
24.1
24.27
27.5
22.8
25.38
22.31
23.5
26.58
22.8
20.77
23.7
24.71
27.77
25.81
27.24
27.33
19.6
26.31
25.0
23.77
25.5
26.81
26.39
23.8
25.15
23.14
25.0
22.3
22.63
25.8
22.6
22.0
22.9
25.7
25.2
24.5
26.16
21.8
20.07
22.4
23.0
27.1
24.3
23.7
28.13
20.1
21.3
22.1
23.09
20.9
26.4
28.2
26.6
26.0
22.8
22.39
29.12
18.7
25.8
25.4
22.9
23.5
21.1
29.0
