Classical
23.3
28.1
23.5
24.71
18.8
25.0
24.81
21.6
27.4
26.0
25.81
26.2
24.61
23.2
24.5
23.71
24.33
27.9
25.29
29.1
29.82
28.3
28.59
24.13
24.99
32.23
30.75
22.3
29.49
28.6
22.98
27.9
23.36
25.45
23.2
20.76
31.62
24.0
31.2
24.05
22.6
23.9
23.9
25.0
29.6
23.0
22.4
31.26
32.5
21.54
29.3
25.3
28.9
24.8
22.58
27.12
29.9
25.2
23.5
22.43
26.0
27.26
26.8
27.1
23.0
20.9
27.54
25.69
25.0
21.8
24.4
23.4
27.4
27.5
28.0
