Country
28.51
32.41
26.95
28.1
33.99
30.93
28.82
27.98
27.16
26.6
26.66
25.28
29.79
24.71
26.37
29.77
22.59
20.55
40.04
30.35
28.02
23.98
33.57
25.98
25.72
25.53
27.06
29.71
28.91
28.08
25.81
26.75
27.71
24.29
25.78
32.78
27.03
28.74
23.89
30.84
32.57
24.64
34.23
28.2
21.53
27.66
24.06
31.88
21.21
29.41
25.23
32.6
26.76
27.58
27.81
29.75
24.54
22.29
23.93
31.22
32.57
28.49
24.13
28.85
28.91
22.18
33.77
23.62
33.62
23.66
24.9
24.8
23.12
23.94
24.06
